species	wikipedia	calflora	min_height	max_height
acacia decurrens	http://en.wikipedia.org/wiki/Acacia_decurrens	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=30	2	10
acacia longifolia	http://en.wikipedia.org/wiki/Acacia_longifolia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=34	7	10
acacia melanoxylon	http://en.wikipedia.org/wiki/Acacia_melanoxylon	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=36	12	15
acer macrophyllum	http://en.wikipedia.org/wiki/Acer_macrophyllum	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=59	15	20
acer nigrum	http://en.wikipedia.org/wiki/Acer_nigrum	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8452	25	30
acer palmatum	http://en.wikipedia.org/wiki/Acer_palmatum	NULL	6	10
acer rubrum	http://en.wikipedia.org/wiki/Acer_rubrum	NULL	18	27
acer saccharinum	http://en.wikipedia.org/wiki/Acer_saccharum	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8452	25	30
aesculus carnea	http://en.wikipedia.org/wiki/Aesculus_%C3%97_carnea	NULL	20	25
ailanthus altissima	http://en.wikipedia.org/wiki/Ailanthus_altissima	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=161	17	27
alnus rhombifolia	http://en.wikipedia.org/wiki/Alnus_rhombifolia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=252	15	25
arbutus unedo	http://en.wikipedia.org/wiki/Arbutus_unedo	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9284	5	10
betula pendula	http://en.wikipedia.org/wiki/Betula_pendula	NULL	15	25
callistemon citrinus	http://en.wikipedia.org/wiki/Callistemon_citrinus	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9294	1	3
casuarina equisetifolia	http://en.wikipedia.org/wiki/Casuarina_equisetifolia	NULL	6	35
catalpa speciosa	http://en.wikipedia.org/wiki/Catalpa_speciosa	http://en.wikipedia.org/wiki/Catalpa_speciosa	15	30
ceanothus spp	http://en.wikipedia.org/wiki/Ceanothus	NULL	1	3
cedrus deodara	http://en.wikipedia.org/wiki/Cedrus_deodara	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9302	40	50
celtis australis	http://en.wikipedia.org/wiki/Celtis_australis	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9787	20	25
celtis sinensis	http://en.wikipedia.org/wiki/Celtis_sinensis	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9437	20	20
ceratonia siliqua	http://en.wikipedia.org/wiki/Ceratonia_siliqua	http://en.wikipedia.org/wiki/Ceratonia_siliqua	10	10
cercis canadensis	http://en.wikipedia.org/wiki/Cercis_canadensis	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=1877	6	9
cinnamomum camphora	http://en.wikipedia.org/wiki/Cinnamomum_camphora	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8626	20	30
citrus limon	http://en.wikipedia.org/wiki/Citrus_limon	NULL	2	4
crataegus laevigata	http://en.wikipedia.org/wiki/Crataegus_laevigata	NULL	2	8
cupressus glabra	http://en.wikipedia.org/wiki/Cupressus_glabra	NULL	10	15
cupressus sempervirens	http://en.wikipedia.org/wiki/Cupressus_sempervirens	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9316	35	35
dodonaea viscosa	http://en.wikipedia.org/wiki/Dodonaea_viscosa	NULL	1	3
eriobotrya japonica	http://en.wikipedia.org/wiki/Eriobotrya_japonica	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8718	3	5
eucalyptus citriodora	http://en.wikipedia.org/wiki/Eucalyptus_citriodora	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=3532	35	35
eucalyptus globulus	http://en.wikipedia.org/wiki/Eucalyptus_globulus	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=3534	30	55
eucalyptus lehmannii	http://en.wikipedia.org/wiki/Eucalyptus_cornuta	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9333	2	25
eucalyptus leucoxylon	http://en.wikipedia.org/wiki/Eucalyptus_leucoxylon	NULL	5	10
eucalyptus polyanthemos	http://en.wikipedia.org/wiki/Eucalyptus_polyanthemos	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=3535	7	25
eucalyptus robusta	http://en.wikipedia.org/wiki/Eucalyptus_robusta	NULL	20	30
eucalyptus rudis	http://en.wikipedia.org/wiki/Eucalyptus_rudis	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9335	10	15
eucalyptus sideroxylon	http://en.wikipedia.org/wiki/Eucalyptus_sideroxylon	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=3537	5	15
eucommia ulmunoides	http://en.wikipedia.org/wiki/Eucommia	NULL	15	15
fagus sylvatica	http://en.wikipedia.org/wiki/Fagus_sylvatica	NULL	25	35
ficus carica	http://en.wikipedia.org/wiki/Ficus_carica	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=3592	7	10
fraxinus americana	http://en.wikipedia.org/wiki/Fraxinus_americana	NULL	20	25
fraxinus holotricha	http://en.wikipedia.org/wiki/Fraxinus	NULL	20	25
fraxinus oxycarpa	http://en.wikipedia.org/wiki/Fraxinus_oxycarpa	NULL	20	30
fraxinus uhdei	http://en.wikipedia.org/wiki/Fraxinus_oxycarpa	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8655	20	30
fraxinus velutina	http://en.wikipedia.org/wiki/Fraxinus_velutina	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=3616	10	10
ginkgo biloba	http://en.wikipedia.org/wiki/Ginkgo_biloba	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9340	20	35
grevillea robusta	http://en.wikipedia.org/wiki/Grevillea_robusta	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9344	18	35
heteromeles arbutifolia	http://en.wikipedia.org/wiki/Heteromeles_arbutifolia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=4140	2	5
jacaranda mimosifolia	http://en.wikipedia.org/wiki/Jacaranda_mimosifolia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=10024	5	15
juglans nigra	http://en.wikipedia.org/wiki/Juglans_nigra	NULL	30	40
juglans regia	http://en.wikipedia.org/wiki/Juglans_regia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=4431	25	35
lagerstroemia indica	http://en.wikipedia.org/wiki/Lagerstroemia_indica	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9354	3	6
ligustrum lucidum	http://en.wikipedia.org/wiki/Ligustrum_lucidum	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8656	25	25
liquidambar styraciflua	http://en.wikipedia.org/wiki/Liquidambar_styraciflua	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8598	20	35
